end_device_ids.device_id,end_device_ids.application_ids.application_id,end_device_ids.dev_eui,end_device_ids.join_eui,end_device_ids.dev_addr,correlation_ids_0,received_at,uplink_message.session_key_id,uplink_message.f_port,uplink_message.f_cnt,uplink_message.frm_payload,uplink_message.decoded_payload.bytes_0,uplink_message.decoded_payload.bytes_1,uplink_message.decoded_payload.bytes_2,uplink_message.decoded_payload.bytes_3,uplink_message.decoded_payload.bytes_4,uplink_message.decoded_payload.bytes_5,uplink_message.decoded_payload.bytes_6,uplink_message.decoded_payload.bytes_7,uplink_message.decoded_payload.bytes_8,uplink_message.decoded_payload.bytes_9,uplink_message.decoded_payload.bytes_10,uplink_message.rx_metadata_0.gateway_ids.gateway_id,uplink_message.rx_metadata_0.gateway_ids.eui,uplink_message.rx_metadata_0.time,uplink_message.rx_metadata_0.timestamp,uplink_message.rx_metadata_0.rssi,uplink_message.rx_metadata_0.channel_rssi,uplink_message.rx_metadata_0.snr,uplink_message.rx_metadata_0.location.latitude,uplink_message.rx_metadata_0.location.longitude,uplink_message.rx_metadata_0.location.altitude,uplink_message.rx_metadata_0.location.source,uplink_message.rx_metadata_0.uplink_token,uplink_message.rx_metadata_0.channel_index,uplink_message.rx_metadata_0.received_at,uplink_message.rx_metadata_1.gateway_ids.gateway_id,uplink_message.rx_metadata_1.gateway_ids.eui,uplink_message.rx_metadata_1.time,uplink_message.rx_metadata_1.timestamp,uplink_message.rx_metadata_1.rssi,uplink_message.rx_metadata_1.channel_rssi,uplink_message.rx_metadata_1.snr,uplink_message.rx_metadata_1.location.latitude,uplink_message.rx_metadata_1.location.longitude,uplink_message.rx_metadata_1.location.altitude,uplink_message.rx_metadata_1.location.source,uplink_message.rx_metadata_1.uplink_token,uplink_message.rx_metadata_1.channel_index,uplink_message.rx_metadata_1.received_at,uplink_message.rx_metadata_2.gateway_ids.gateway_id,uplink_message.rx_metadata_2.gateway_ids.eui,uplink_message.rx_metadata_2.time,uplink_message.rx_metadata_2.timestamp,uplink_message.rx_metadata_2.rssi,uplink_message.rx_metadata_2.channel_rssi,uplink_message.rx_metadata_2.snr,uplink_message.rx_metadata_2.location.latitude,uplink_message.rx_metadata_2.location.longitude,uplink_message.rx_metadata_2.location.altitude,uplink_message.rx_metadata_2.location.source,uplink_message.rx_metadata_2.uplink_token,uplink_message.rx_metadata_2.channel_index,uplink_message.rx_metadata_2.received_at,uplink_message.rx_metadata_3.gateway_ids.gateway_id,uplink_message.rx_metadata_3.gateway_ids.eui,uplink_message.rx_metadata_3.time,uplink_message.rx_metadata_3.timestamp,uplink_message.rx_metadata_3.rssi,uplink_message.rx_metadata_3.channel_rssi,uplink_message.rx_metadata_3.snr,uplink_message.rx_metadata_3.location.latitude,uplink_message.rx_metadata_3.location.longitude,uplink_message.rx_metadata_3.location.altitude,uplink_message.rx_metadata_3.location.source,uplink_message.rx_metadata_3.uplink_token,uplink_message.rx_metadata_3.channel_index,uplink_message.rx_metadata_3.received_at,uplink_message.settings.data_rate.lora.bandwidth,uplink_message.settings.data_rate.lora.spreading_factor,uplink_message.settings.data_rate.lora.coding_rate,uplink_message.settings.frequency,uplink_message.settings.timestamp,uplink_message.settings.time,uplink_message.received_at,uplink_message.consumed_airtime,uplink_message.version_ids.brand_id,uplink_message.version_ids.model_id,uplink_message.version_ids.hardware_version,uplink_message.version_ids.firmware_version,uplink_message.version_ids.band_id,uplink_message.network_ids.net_id,uplink_message.network_ids.ns_id,uplink_message.network_ids.tenant_id,uplink_message.network_ids.cluster_id,uplink_message.network_ids.cluster_address,uplink_message.packet_error_rate,uplink_message.rx_metadata_4.gateway_ids.gateway_id,uplink_message.rx_metadata_4.gateway_ids.eui,uplink_message.rx_metadata_4.time,uplink_message.rx_metadata_4.timestamp,uplink_message.rx_metadata_4.rssi,uplink_message.rx_metadata_4.channel_rssi,uplink_message.rx_metadata_4.snr,uplink_message.rx_metadata_4.location.latitude,uplink_message.rx_metadata_4.location.longitude,uplink_message.rx_metadata_4.location.altitude,uplink_message.rx_metadata_4.location.source,uplink_message.rx_metadata_4.uplink_token,uplink_message.rx_metadata_4.channel_index,uplink_message.rx_metadata_4.received_at
1,0,1,0,1,19,19,1,2,12176,14,13,16,0,0,9,141,9,76,2,15,16,4,4,19,2117420124,-108,-108,-3.5,38.3833301416072,-0.512394097936542,8,0,19,6,19,5,5,19,0,0,0,0,0,0,0,1,19,0,19,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,2,2117420124,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,20,20,2,85,2184,2,3,123,0,0,0,0,0,0,0,0,0,1,1,20,236754269,-85,-85,7.5,38.38418726539637,-0.5101910233497621,10,0,20,4,20,3,3,20,236564614,-105,-105,-4.75,38.385917659159134,-0.5170252919197084,20,0,20,4,20,0,0,16,2249237337,-101,-101,4.5,38.3846865837538,-0.513212937943281,20,0,16,4,16,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,3,236754269,20,20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,1,3,21,21,3,85,2459,2,3,123,0,0,0,0,0,0,0,0,0,1,1,21,242142981,-90,-90,4.5,38.38418726539637,-0.5101910233497621,10,0,21,6,21,2,2,21,2254626041,-101,-101,7.25,38.3846865837538,-0.513212937943281,20,0,21,6,21,3,3,17,2238069260,-105,-105,6.5,38.3833301416072,-0.512394097936542,8,0,17,6,17,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,2,242142981,21,21,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,4,0,4,22,22,4,2,12179,15,13,23,0,0,10,48,8,87,2,218,16,2,2,22,2366026498,-71,-71,7.75,38.3846865837538,-0.513212937943281,20,0,22,6,22,3,3,22,353353934,-91,-91,8.75,38.385917659159134,-0.5170252919197084,20,0,22,6,22,3,3,18,2349469948,-83,-83,9.25,38.3833301416072,-0.512394097936542,8,0,18,6,18,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,2,2366026498,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,5,0,5,23,23,5,2,12250,16,13,18,0,0,2,242,8,92,0,7,16,0,0,23,426918910,-96,-96,7.75,38.385917659159134,-0.5170252919197084,20,0,23,3,23,2,2,23,2439591386,-81,-81,9.5,38.3846865837538,-0.513212937943281,20,0,23,3,23,3,3,19,2423034979,-96,-96,8.75,38.3833301416072,-0.512394097936542,8,0,19,3,19,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,5,426918910,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,6,1,6,24,24,6,85,2191,2,3,123,0,0,0,0,0,0,0,0,0,1,1,24,456947937,-93,-93,2.5,38.38418726539637,-0.5101910233497621,10,0,24,6,24,2,2,24,2469430738,-103,-103,6.25,38.3846865837538,-0.513212937943281,20,0,24,6,24,3,3,20,2452874404,-106,-106,5,38.3833301416072,-0.512394097936542,8,0,20,6,20,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,2,456947937,24,24,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,7,0,7,25,25,7,2,12177,17,13,20,0,0,6,229,8,241,1,158,16,3,3,25,3498254596,-95,-95,-3.5,38.38473180809575,-0.5102983117103578,10,0,25,3,25,2,2,25,2541012290,-107,-107,4.25,38.3846865837538,-0.513212937943281,20,0,25,3,25,2,2,21,528339950,-107,-107,4,38.385917659159134,-0.5170252919197084,20,0,21,3,21,0,0,8,2524456099,-91,-91,8.5,38.3833301416072,-0.512394097936542,8,0,8,3,8,125000,7,0,5,3498254596,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,8,0,8,26,26,8,2,12251,18,13,19,0,0,7,45,8,199,0,173,16,0,0,26,561845422,-92,-92,7,38.385917659159134,-0.5170252919197084,20,0,26,2,26,2,2,26,2574517730,-75,-75,7.25,38.3846865837538,-0.513212937943281,20,0,26,2,26,3,3,22,2557961603,-93,-93,7.25,38.3833301416072,-0.512394097936542,8,0,22,2,22,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,0,561845422,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,9,0,9,27,27,9,2,12175,19,13,32,0,0,9,252,8,243,4,32,16,0,0,27,586587414,-102,-102,5.25,38.385917659159134,-0.5170252919197084,20,0,27,6,27,2,2,27,2599259690,-86,-86,9.75,38.3846865837538,-0.513212937943281,20,0,27,6,27,3,3,23,2582703620,-92,-92,10.25,38.3833301416072,-0.512394097936542,8,0,23,6,23,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,2,586587414,27,27,0,0,0,0,0,0,0,0,0,0,0,0.04761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,10,0,10,28,28,10,2,12252,20,13,8,0,0,0,0,9,23,0,0,16,2,2,28,2751543711,-111,-111,-1,38.3846865837538,-0.513212937943281,20,0,28,4,28,3,3,28,738871638,-102,-102,4,38.385917659159134,-0.5170252919197084,20,0,28,4,28,3,3,24,2734987964,-106,-106,5.25,38.3833301416072,-0.512394097936542,8,0,24,4,24,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,3,2751543711,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,11,0,11,29,29,11,2,12177,21,13,0,0,0,3,221,8,160,0,29,16,0,0,29,743239846,-101,-101,3.75,38.385917659159134,-0.5170252919197084,20,0,29,6,29,2,2,29,2755911919,-99,-99,7,38.3846865837538,-0.513212937943281,20,0,29,6,29,3,3,25,2739356180,-83,-83,9.5,38.3833301416072,-0.512394097936542,8,0,25,6,25,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,2,743239846,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,1,2,30,30,2,85,2185,2,3,123,0,0,0,0,0,0,0,0,0,1,1,30,837127909,-87,-87,6.5,38.38418726539637,-0.5101910233497621,10,0,30,5,30,2,2,30,2849610255,-101,-101,5.5,38.3846865837538,-0.513212937943281,20,0,30,5,30,2,2,26,836938302,-105,-105,-5.75,38.385917659159134,-0.5170252919197084,20,0,26,5,26,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,1,837127909,30,30,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,3,1,3,31,31,3,85,2460,2,3,123,0,0,0,0,0,0,0,0,0,2,2,31,2855017455,-98,-98,5.5,38.3846865837538,-0.513212937943281,20,0,31,2,31,0,0,31,842535117,-93,-93,3,38.38418726539637,-0.5101910233497621,10,0,31,2,31,3,3,27,2838461923,-103,-103,3.75,38.3833301416072,-0.512394097936542,8,0,27,2,27,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,0,2855017455,31,31,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,12,0,12,32,32,12,2,12253,22,13,20,0,0,0,0,9,22,0,0,16,4,4,32,2914933188,-111,-111,2.25,38.3833301416072,-0.512394097936542,8,0,32,4,32,5,5,19,0,0,0,0,0,0,0,1,19,0,19,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,3,2914933188,32,32,0,0,0,0,0,0,0,0,0,0,0,0.04761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,13,0,13,33,33,13,2,12179,23,12,247,0,0,7,145,7,187,1,17,16,2,2,33,2933737895,-96,-96,7.5,38.3846865837538,-0.513212937943281,20,0,33,2,33,3,3,32,921066054,-101,-101,3.75,38.385917659159134,-0.5170252919197084,20,0,32,2,32,3,3,28,2917182523,-104,-104,5,38.3833301416072,-0.512394097936542,8,0,28,2,28,1,1,1,0,0,0,0,0,0,0,1,1,0,1,125000,7,0,0,2933737895,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
